将棋で歩がなると？,と
掛け軸の下につけるおもり,ふうちん
漢字で「海虎」と書きます,アメフラシ
間接的に温める方法,ゆせん
魚ではないのに魚へんです,くじら
恐竜もこれの一種でした,はちゅうるい
渓流のほとりに生える日本原産の植物,わさび
最高級品とされる冬に採れる椎茸,どんこ
埼玉県蕨市が発祥の地とされています,せいじんしき
持ち込みを禁止しているホテルもあります,ドリアン
時計の針を動かします,りゅうず
七味唐辛子にも入っているミカンの皮を乾燥させたもの,ちんぴ
釈迦の棺の材料になった植物,ビャクダン
寿司ネタでもおなじみのウバガイの別名,ほっきがい
樹木の形を整えるために枝の一部を切り取ること,せんてい
秋の味覚です,さんま
十二支と星占いの星座に共通する動物です,ひつじ
神を祭る神聖な場所に張ります,しめなわ
神奈川県の木です,イチョウ
進物の上にかけたり物を包んだりします,ふくさ
青森県に棲むといわれる妖怪,かわうそ
昔は冬の必需品でした,ゆたんぽ
茶碗蒸しなどを加熱しすぎると入るもの,す
朝鮮出兵のときに加藤清正が持ち帰りました,セロリ
鉄人・陳健一の父が日本に広めました,まーぼどうふ
天然記念物の白蛇はこれの一種です,アオダイショウ
冬には蜜柑がよく似合います,こたつ
日本の本州から九州にかけて生息するキツツキ科の鳥,あおげら
日本生まれなのに中国の地名がついた料理,てんしんはん
納豆を包むときなどに使います,わらづと
馬のひづめは人間のこれにあたります,なかゆび
背中の縞模様が特徴のイノシシの子供です,うりぼう
白い表皮が木綿を巻いたように見えることから名がついた植物,はまゆう
発明のきっかけはナポレオンがかけた懸賞金,かんづめ
氷に穴を開けて釣ります,ワカサギ
物を研ぐのに使ったことからその名がついたシダ植物,とくさ
毛色は白、黒、茶色です,みけねこ
雷が鳴るまで離れません,スッポン
和裁に使います,くじらじゃく
和室にある建具です,びょうぶ
1957年、江戸川乱歩賞を『猫は知っていた』で受賞,にきえつこ
1962年、北海道の農民が自衛隊の通信線を切断して起きた事件,えにわじけん
2004年４月から民営化されました,なりたくうこう
2005年４月１日に兵庫県に誕生した新しい都市は○○市？,しそう
2005年に死去したジャケットブランド「ＶＡＮ」の設立者,いしづけんすけ
「つん」という犬を連れています,さいごうさん
「とっとり梨の花温泉郷」の一つ,はわいおんせん
「とっとり梨の花温泉郷」の一つ,みささおんせん
「マニフェスト」はふつうこう訳されます,せいけんこうやく
「南無阿弥陀仏・・」,ねんぶつ
「肉を斬らせて骨を断つ」といわれた剣術の流派,じげんりゅう
この屋根の形式を何という？,よせむね
イギリスの銀行家オリバー・フランクスが最初に用いた言葉,なんぼくもんだい
カゲロウの羽のように薄くて丈夫といわれる土佐名産の和紙,てんぐじょうし
ソニーの前身である東京通信工業を設立した一人,いぶかまさる
パソコンのデスクトップの背景に表示された写真や図柄,かべがみ
ベストセラー『ノストラダムスの大予言』の著者は？,ごとうべん
ミステリー作家・京極夏彦の作品,てっそのおり
ユダヤ教の象徴となっているエルサレムの名所,なげきのかべ
安寿と厨子王を買った伝説上の長者,さんしょうだゆう
奥州三名湯のひとつです,あきうおんせん
岡山市に本店を置く百貨店,てんまや
歌舞伎の定式幕にも使われる色,もえぎいろ
河童の大好物です,しりこだま
芥川賞と直木賞の選考会が行われる東京都・築地の料亭,しんきらく
吉田茂の孫にあたる現在の総務大臣,あそうたろう
宮部みゆきの代表作,かしゃ
旧日本海軍が用いた人間魚雷,かいてん
京都三大祭のひとつです,あおいまつり
軍隊に付属する食料・武器・弾薬など軍需品の総称,しちょう
建物が完成したことを祝って行われる儀式,しゅんこうしき
現在の迎賓館である旧赤坂離宮を設計した建築家,かたやまとうくま
国税のひとつです,ぞうよぜい
裁判官を裁くために国会に設けられるのは○○裁判所？,だんがい
集中豪雨で起こる災害のひとつ,どせきりゅう
小豆島の景勝地「寒霞渓」の名付け親である儒学者,ふじさわなんがく
新一万円札と十円玉に共通して描かれている鳥,ほうおう
真珠の重さの単位です,もんめ
神宮、皇居などの外側にある広い庭園のこと,がいえん
正月の縁起物として神社で売られます,はまや
西村真琴が作った東洋初のロボットの名前,がくてんそく
戦前は吉本興業が所有していました,つうてんかく
贈り物に添えられる色紙を折ったもの,のし
太平洋戦争終戦１ヶ月後の日本を襲ったのは○○台風,まくらざき
第１回は太田朋子が受賞した女性科学者に贈られる賞,さるはししょう
茶道で使う茶入の一種,なつめ
東京の隅田川にかかっています,かちどきばし
難読名字のひとつです,たかなし
日本の鉄道駅を五十音順に並べると最初にくるのは○○駅？,あいおい
日本三大霊場のひとつです,ひえいざん
日本神話に登場する英雄です,スサノオノミコト
日本人で初めて新婚旅行をしました,さかもとりょうま
副題を『キッチン２』というよしもとばななの小説,まんげつ
福井県鯖江市が生産量日本一です,メガネ
有名な温泉地です,いかほ
1990年放映の刑事ドラマ,でかきぞく
1995年放映の清水美砂主演のドラマは『○○においでよ』？,うち
1998年にテレビ朝日に入社した女子アナウンサー,のむらまさき
1999年に安達祐実が主演したＴＶドラマは『青い鳥○○○』？,シンドローム
1999年に入社したテレビ朝日の女子アナウンサーです,りゅうえんあいり
2000年のドラマ『あっとほーむ』に主演した日本舞踊家・女優です,おのえゆかり
2003年に骨髄バンクのＣＭに映像が使われた今は亡き女優,なつめまさこ
2004年にボーダフォンのＣＭに出演しました,なりみやひろき
2005年に放映されたフジテレビのお昼のドラマ,ふゆのりんぶ
「ひょうきん懺悔室』では神父を務めたプロデューサー,よこざわたけし
『ＮＨＫニュース７』に出演している女性気象予報士です,なからいさえ
『こたえてちょーだい！』で司会を務めるフジテレビの女子アナ,きくまゆきの
『ひとつ屋根の下』『高校教師』などの作品がある脚本家は？,のじましんじ
『ガッコの先生』や『ショムニ』などのＴＶドラマに出演した女優,さくらいあつこ
『火曜サスペンス劇場』の監察医・室生亜希子役で有名,はまゆうこ
ＳＭＡＰの香取慎吾が主演した1996年のＴＶドラマは？,とうめいにんげん
ＴＶドラマ『ぽっかぽか』で女の子のあすかを演じました,かみわきゆう
ＴＶドラマ『パーフェクトラブ』『ラブコンプレックス』に出演,きむらよしの
ＴＶドラマ『ヤヌスの鏡』で主人公を演じたアイドルは？,すぎうらみゆき
ＴＶドラマ『刑事★イチロー』『ぼくの魔法使い』などに出演,ぬくみずよういち
ＴＶドラマ『古畑任三郎』や『オヤジぃ。』の主演俳優は？,たむらまさかず
ＴＶドラマ『必殺仕置屋稼業』で怪力の僧侶・印玄を演じました,あたらしかつとし
ＴＶドラマ『僕だけのマドンナ』『ちゅらさん』を担当した脚本家,おかだよしかず
ＴＶ番組『報道ステーション』でコメンテーターを務めています,かとうちひろ
ＴＶ番組『料理の鉄人』ではマントを着て司会を務めました,かがたけし
お昼のＴＶドラマ『はるちゃん』シリーズの主演女優です,なかはらかなん
かつてシュワルツェネッガーがＣＭで両手に持って踊りました,やかん
ドラマ『ちゅらさん』で主人公の夫・文也の母を演じた女優です,まやきょうこ
ドラマ『サインはＶ』でジュン・サンダースを熱演,はんぶんじゃく
ドラマ『ショムニ,ファイナル』『白い巨塔』などに出演した俳優
ドラマ『ヤンキー母校に帰る』や『ああ探偵事務所』に出演しました,ながいまさる
ドラマ『俺たちの旅』などに出演した俳優・秋野太作の昔の芸名,つさかまさあき
ドラマ『俺たちの旅』の洋子役,かなざわみどり
ドラマ『傷だらけのラブソング』で高橋克典と共演した歌手は？,なかしまみか
ドラマ『直子センセの診察日記』の主演や２時間ドラマでおなじみ,おおたからともこ
伊藤かずえ主演の大映ドラマです,ちきょうだい
奥州藤原氏四代の戦いを描いた1993年放映開始の大河ドラマ,ほむらたつ
加藤紀子が姑にいじめられる嫁を演じた1998年のＴＶドラマ,らせつのいえ
及川光博主演のＴＶドラマは『ミステリー民俗学者○○○』？,やくもいつき
現役のラクロスの選手でもあるテレビ朝日のアナウンサー,かわのあきこ
最近は『トリビアの泉』でおなじみのＳＦ・オカルト作家,あらまたひろし
司会を務めた『紅白歌合戦』で「次はミソラ・・・」と発言,うぶかたけいいち
石田ひかり主演のドラマです,わる
長年にわたってテレビ朝日夜10時の顔でした,くめひろし
藤竜也が主演した1987年放映のドラマは『ベイシティ○○』？,コップ
毎日放送が制作する深夜番組は『痛快！明石家○○○』？,テレビ
1961年の小津安二郎監督の映画は『○○○○の秋』？,こはやがわけ
1962年に田宮二郎が主演した映画は『黒の○○○』？,テストカー
1967年の映画『007は二度死ぬ』でボンドガールを演じた女優,わかばやしあきこ
1976年公開の大島渚監督の映画『愛のコリーダ』の主人公です,あべさだ
1981年の映画『悪霊島』で舞台となる島は○○島？,おさかべ
1986年の映画『キネマの天地』でヒロインの田中小春を演じました,ありもりなりみ
1990年の映画『天と地と』で津川雅彦が演じた戦国武将は？,たけだしんげん
1998年のアカデミー賞短編ドキュメンタリー賞を受賞,いびけいこ
1999年公開の映画『黒い家』に主演した俳優は？,うちのまさあき
2000年に公開された映画『仮面学園』の主演俳優,ふじわらたつや
2004年に公開されたキム・ジウン監督による韓国のホラー映画,たんす
2005年の映画『ローレライ』でヒロインを演じた女優,かしいゆう
『Ｓｈａｌｌ　ｗｅ　ダンス？』で有名な日本の映画監督,すおうまさゆき
『リリイ・シュシュのすべて』や『花とアリス』で有名な映画監督,いわいしゅんじ
『稀人』や『呪怨』などのホラー映画で知られる監督は？,しみずたかし
『鬼畜大宴会』『空の穴』などの作品がある映画監督は？,くまきりかずよし
『湖の琴』『陽のあたる坂道』『乳母車』で有名な映画監督です,たさかともたか
『午後の遺言状』『原爆の子』などの作品がある映画監督です,しんどうかねと
『豪姫』『利休』などの作品がある映画監督は○○○○宏？,てしがはら
『世界の中心で、愛をさけぶ』や『北の零年』で有名な映画監督,ゆきさだいさお
『南極物語』『キタキツネ物語』などの作品がある映画監督です,くらはらこれよし
『非行少女』『男の紋章』など日活の青春映画で活躍しました,いずみまさこ
『隣の八重ちゃん』などの映画に主演した戦前の女優,あいぞめゆめこ
ＳＭＡＰの中居正広が主演した宮部みゆき原作の映画は？,もほうはん
ここが舞台になった映画です,ぽっぽや
これを飲むほど強くなるジャッキー・チェンの出世作,すいけん
カンヌで最優秀男優賞を受賞,やぎらゆうや
カンヌ映画祭の国際批評家週間に入選した青島幸男監督の映画は？,かね
カンヌ国際映画祭グランプリを受賞した今村昌平監督の映画,ならやまぶしこう
コロンバイン高校の銃乱射事件を題材にした2003年の映画です,エレファント
シャロン・ストーン主演による1993年のサスペンス映画,がらすのとう
スタンリー･キューブリック監督の代表作は『時計じかけの？』,オレンジ
スピルバーグ監督の映画『未知との遭遇』の舞台,デビルスタワー
ダリオ・アルジェント監督のデビュー映画は『歓びの○○』？,きば
マーティン・スコセッシ監督ニコラス・ケイジ主演の映画,きゅうめいし
メル・ギブソン演じる主人公が誘拐犯と戦う1997年の映画,みのしろきん
リチャード・ギアが出演した黒澤映画は『八月の○○○』？,ラプソディー
渥美清や豊川悦司が主演した金田一耕助が登場する映画,やつはかむら
伊丹十三の監督デビュー作は？,おそうしき
映画『めし』『浮雲』などで有名な映画監督は成瀬○○○？,みきお
映画『ウォーターボーイズ』や『ひみつの花園』の監督は？,やぐちしのぶ
映画『シベリア超特急』に出演した通称「ボンちゃん」,にしだかずあき
映画『ツィゴイネルワイゼン』『陽炎座』で有名な監督です,すずきせいじゅん
映画『ドレミファ娘の血は騒ぐ』に出演した女優です,どうぐちよりこ
映画『ニッポン無責任時代』で植木等が演じたお調子者の主人公,たいらひとし
映画『バトル・ロワイアルII』のサブタイトルは？,レクイエム
映画『犬神家の一族』で顔にゴムマスクをつけてる人物は？,すけきよ
映画『呪怨』に登場する女性の幽霊です,かやこ
映画『女囚さそり』シリーズで知られる美人女優は？,かじめいこ
映画『大菩薩峠』『飢餓海峡』『宮本武蔵』で有名な映画監督,うちだとむ
映画『男はつらいよ』シリーズの初代マドンナを演じた女優は？,みつもとさちこ
映画『天地創造』の音楽を担当,まゆずみとしろう
映画『独立愚連隊』の主演俳優,さとうまこと
映画『風とともに去りぬ』の舞台となっている農場の名前は？,タラ
奥菜恵主演による2003年公開のホラー映画は？,じゅおん
窪塚洋介が天草四郎を演じた2003年公開の映画は？,まかいてんしょう
広末涼子と松田龍平が主演した堤幸彦監督による2003年の映画,れんあいしゃしん
高倉健主演の1977年の映画は『○○の黄色いハンカチ』,しあわせ
時代劇映画で戦いの場面の指導をする専門家,たてし
松田龍平とビートたけしが共演した、大島渚監督の映画,ごはっと
新藤兼人監督の映画『三文役者』に描かれている俳優です,とのやまたいじ
森田芳光監督の映画『阿修羅のごとく』の原作者,むこうだくにこ
石ノ森章太郎の漫画を原作とする椎名桔平が主演した2002年の映画,けわいし
相米慎二監督の遺作となった2001年公開の映画は？,かざはな
大林宣彦の映画の舞台としておなじみの街です,おのみち
東映の撮影所があることで有名な京都の地名です,うずまさ
北野武や勝新太郎が主演した映画『座頭市』の原作者は？,しもざわかん
麻生幾のベストセラー小説を原作とする映画『宣戦布告』の監督,せじろどう
麻生久美子、つぐみ、永瀬正敏が共演した2001年の恋愛映画は？,ぜいたくなほね
名優ヘンリー・フォンダがアカデミー主演男優賞を受賞,たそがれ
1978年に大ヒットした世良公則＆ツイストの曲,ひきがね
1980年頃に活躍した、この人物と同名のドイツの音楽グループは？,ジンギスカン
1981年のヒット曲『春先小紅』で有名な坂本龍一の元妻です,やのあきこ
1986年にリリースされた南野陽子のヒット曲です,アプローチ
1991年にボーカルのフレディが亡くなりました,ＱＵＥＥＮ
1991年の日本有線放送大賞を受賞した香西かおりの曲です,はぐれそう
1993年にリリースされたThe,虎舞竜のヒット曲です
1993年にリリースされた工藤静香のヒット曲です,どうこく
1996年に大ヒットした演歌歌手天童よしみの曲は『○○物語』？,チンド
1999年に活動を休止した清春と人時の２人組,くろゆめ
2001年に『ぼくの味方』でデビューした女性歌手です,しばたじゅん
2001年にヒットした夏川りみの曲のタイトルは『○そうそう』？,なだ
2002年にデビューしたユニットは三枝夕夏,ＩＮ
2003年にシングル『Jupiter』でデビューした女性歌手です,ひらはらあやか
2005年１月１日に発売された演歌歌手・北島三郎の曲です,ともよ
2005年にヒットしたジャンヌダルクの曲です,げっこうか
2005年にリリースされたSINGER　SONGERのヒット曲,しょかりんりん
CHEMISTRYのメンバー。広島東洋カープファン,どうちんよしくに
YOSHIKIがプロデュースした曲『Begin』で1998年にデビュー,きたのしょうこ
「エレファント・カシマシ」のボーカルを担当しています,みやもとひろじ
「ガンダムの歌姫」と呼ばれる人気女性歌手です,たまきなみ
「歌舞伎町の女王」といえば歌手の誰のこと？,しいなりんご
「菜の花畠に入り日薄れ」という歌い出しで有名な童謡です,おぼろづきよ
『いいじゃないの幸せならば』でレコード大賞を受賞しました,さがらなおみ
『さらば青春の光』『スリル』などのヒット曲がある歌手は？,ほていともやす
『オー・マイ・ダーリン・クレメンタイン』が原曲,ゆきやまさんか
『シンフォニック・カルマ』で第１回芥川作曲賞を受賞,たかはしゆたか
『スローなブギにしてくれ』のヒットで有名な歌手です,みなみよしたか
『夏の思い出』に歌われています,おぜ
『少年』などのヒット曲がある女性演歌歌手です,かどくらゆき
『昔の名前で出ています』や『熱き心に』を歌った歌手は？,こばやしあきら
『贈る言葉』を歌いました,かいえんたい
『大阪ものがたり』『花巻雨情』などのヒット曲がある演歌歌手,かどかわひろし
『涙をふいて』『すごい男の唄』のヒットで有名な歌手です,みよしてっせい
『老人と子供のポルカ』を1970年にヒットさせました,ひだりぼくぜん
ＰＵＦＦＹの『渚にまつわるエトセトラ』の歌詞に出てきます,かに
ＲＣサクセションのボーカルを務めた歌手は○○清志郎？,いまわの
ＴＶ番組『とんねるずのみなさんのおかげでした』で生まれました,やえん
かつて「ツイスト」というグループを結成していました,せらまさのり
かつて佳山明生と日野美歌が歌ってヒットした曲です,ひさめ
かつて佐野元春、大滝詠一と共にナイアガラトライアングルを結成,すぎまさみち
かつて的場浩司がボーカルを務めたロックバンドです,ファイヤーズ
アイドルグループＴＯＫＩＯでキーボードを担当しています,こくぶんたいち
イブ・モンタンが映画『夜の門』で歌った有名なシャンソンです,かれは
ウィーンを拠点に、世界的に活躍する全盲の日本人ピアニスト,かけはしたけし
シャ乱Ｑのまことが作詞、はたけが作曲した森進一の曲です,よるのしじま
シングル『魔法の黄色い靴』でデビューしました,チューリップ
ジャニーズのアイドルグループ「Ｖ６」のメンバーです,もりたごう
デュマの小説を原作とするヴェルディ作曲のオペラ,つばきひめ
ヒット曲『ハイサイおじさん』で有名な沖縄の歌手は？,きなしょうきち
ヒット曲『月のワルツ』を歌っている女性歌手です,いさやまみお
ビートルズのリンゴ・スターはこの楽器を担当していました,ドラム
フォークバンド「六文銭」のボーカルだった元・吉田拓郎夫人,よすみけいこ
モーツァルトが最後に作曲した交響曲は？,ジュピター
ヴィヴァルディの協奏曲です,しき
愛称を「ジュリー」という元ザ・タイガースの歌手,さわだけんじ
宇多田ヒカルのシングルで初めて日本語がタイトルに,ひかり
映画の主題歌として作られた井上陽水の名曲です,しょうねんじだい
解散したピチカート・ファイヴの元リーダーだったミュージシャン,こにしやすはる
橋幸夫、舟木一夫、西郷輝彦が期間限定で作ったユニットです,ごさんけ
元「ピンクレディー」の２人とは増田恵子と誰？,みい
広島市民球場で初めての野外ライブをしたアーティスト,おくだたみお
山崎まさよしが作詞・作曲したＳＭＡＰのヒット曲です,セロリ
詩人の北原白秋が作詞した日本の童謡です,からまつ
唱歌『夏は来ぬ』の歌詞に登場する鳥です,くいな
唱歌『花』の歌詞に出てきます,すみだがわ
森田剛や三宅健らが所属するジャニーズのアイドルグループ,ブイシックス
人気バンド・BUMP,PF
浅倉大介とユニットaccessを組んでいる歌手は？,たかみひろゆき
早稲田大学の校歌『都の西北』などの作品で知られる作曲家,とうぎてってき
中島みゆきのコンサートです,やかい
長山洋子の演歌デビュー曲は？,ひぐらし
童謡でおなじみの動物です,アイアイ
日本の美人ギタリストです,むらじかおり
日本レコード大賞を受賞したピンク・レディの曲です,ＵＦＯ
俳優・大沢たかおを夫に持つ人気女性シンガー,ひろせこうみ
俳優の宝田明を父に持つ女性シンガーソングライター,こじまみちる
美川憲一が歌った大ヒット曲『○○○ブルース』？,やながせ
氷川きよしのデビュー曲は『○○○○の半次郎』？,はこねはちり
堀江淳のヒット曲『メモリーグラス』の歌詞に出てきます,みずわり
「イェイ、イェイ、イェイー！」と叫ぶギャグでおなじみの芸人,やまさきほうせい
「カムカムミニキーナ」の俳優,やまざきしげのり
「ガキさん」の愛称で知られるモーニング娘。のメンバーは？,にいがきりさ
「韓国イケメン四天王」といわれる俳優の一人,チャンドンゴン
「野球は巨人、司会は」この人,おおはしきょせん
『トリビアの泉』でおなじみ,たかはしかつみ
『ベストタイム』『ガチンコ！』などの番組に出演した料理人です,ひらのひさま
『愛し君へ』『高校教師』などのＴＶドラマに主演した俳優は？,ふじきなおひと
『愛なんていらねえよ、夏』や『ケイゾク』などのドラマに出演,わたべあつろう
おならの別名が題名になっている落語の演目,てんしき
かつて城山美佳子と林千春が結成していた２人組アイドルは？,パンプキン
たかの友梨ビューティクリニックのＣＭに出演していた俳優,たかちのぼる
オフィス北野に所属する個性派俳優です,てらじますすむ
タレント・千秋の長女の名前は「遠藤○○」？,いろは
ニックネームは「クロベエ」,くろべゆきひで
ニックネームは「フカキョン」,ふかだきょうこ
パペットマペットが操るのは牛と何の人形？,カエル
ファッション誌『Ｒａｙ』の専属モデル出身のタレント,すがわらとしみ
愛称は「トットちゃん」,くろやなぎてつこ
映画『独立愚連隊』の主演俳優,さとうまこと
映画『夜がまた来る』『死国』などに主演した女優です,なつかわゆい
歌手・平松愛理の長女の名前は「清水○○○」？,はいね
歌舞伎十八番の一つ,ういろううり
歌舞伎役者・市川猿之助の屋号です,おもだかや
京都のある山に、たいこもちと遊びに行く旦那が登場する落語,あたごやま
桂文楽の別名は「○○○」？,くろもんちょう
劇場の回り舞台を考案,なみきしょうぞう
元ジャリズムの放送作家,わたなべあつむ
元モーニング娘。,なかざわゆうこ
黒、柿色、萌黄色が使われる歌舞伎の舞台にかかる幕は何？,じょうしきまく
今は亡き人気推理作家を母にもつ２時間ドラマには欠かせない女優,やまむらもみじ
三世・瀬川如皐が創作した日本舞踊の曲名,きおいじし
時代劇の悪役でお馴染みの今は亡き名優です,とうらろっこう
芝居の興行の最終日,せんしゅうらく
初代「なっちゃん」,たなかれな
女優時代の芸名を「麻里とも恵」というジャズシンガー,あがわやすこ
人気グループ「関ジャニ∞」のメンバーは○○すばる？,しぶたに
千利休が初めて茶室に取り入れました,にじりぐち
村田珠光の侘び茶を引き継ぎ茶の湯を芸術にまで高めた茶人,たけのじょうおう
太郎冠者が那須与一の踊りを舞うシーンが有名な歌舞伎の演目,すおうおとし
第１回Ｍ－１優勝コンビ,なかがわけ
題目と同名の彫り物師が主人公の、落語の人情噺？,はまののりゆき
中国の京劇で、俳優に施される独特の化粧のこと,れんぷ
長野県出身の、「癒し系グラビアアイドル」,おとは
登場人物の八重桐が、別れた夫へ恨みを喋るシーンが見所の歌舞伎,こもちやまんば
俳優・本木雅弘の長男の名前は「内田○○」？,うた
夫は故・勝新太郎であるバラエティ番組でも活躍する女優,なかむらたまお
武士や貴族などを演じる役者が部屋着として着る歌舞伎の衣装,おみごろも
舞台やミュージカルで活躍するキリンプロ所属の中学生女優,あじまにき
本名を宮本順子という、宝塚歌劇団出身の女優,みぎわなつこ
本名を末吉孝寿という俳優,とうろうしゅう
木村拓哉の子供は心美ちゃんと？,みつき
夜、屋外で催される能のこと,たきぎのう
落語の怪談『牡丹灯籠』の題材になった中国の小説集,せんとうしんわ
落語の楽屋用語で羽織のことを何という？,だるま
落語や講談、漫才などの大衆芸能を興行する演芸場,よせ
落語家・立川談志が高座に上がるときの出囃子,とくさがり
落語家・林家こん平の出身地である、今はなき新潟県の村,ちやざわむら
落語家で二つ目の次の位,しんうち
霊にとりつかれた呉竹という少女が登場する歌舞伎の演目,うわなり
1958年に春の甲子園を制している熊本の野球名門校は○○○高校？,せいせいこう
1959年の日本シリーズで巨人相手に４連投４連勝を記録しました,すぎうらただし
1969年に起きた、プロ野球界を震撼させた事件は○○○事件？,くろいきり
1987年まで、読売ジャイアンツの本拠地だったのは○○○球場？,こうらくえん
1988年、阪神タイガースの外国人選手・ジョーンズがつけた背番号,ダブルオー
1998年のセ・リーグの新人王です,かわかみけんしん
2000年にＦＡ制度を利用しカープからジャイアンツに移籍しました,えとうあきら
2000年にドラフト１位で阪神タイガースに入団しました,たいよう
2004年の夏の甲子園を制した高校がある都市です,とまこまい
2004年より阪神タイガースの監督を務めています,おかだあきのぶ
「怪童」と呼ばれた往年の名プロ野球選手,おざきゆきお
いわゆる「夏の甲子園」の第１回大会優勝校,きょうとにちゅう
ジャイアンツの堀内恒夫監督のかつてのニックネームです,こてんぐ
スーパーカートリオの一員として活躍した元大洋ホエールズの選手,やしきかなめ
プロ野球で三冠王とは本塁打王、打点王と何？,しゅいだしゃ
プロ野球のドラフト会議の正式名は「○○○○選択会議」？,しんじんせんしゅ
プロ野球のピッチャーにとってこれに選ばれるのは名誉なこと,かいまくとうしゅ
夏の甲子園でもっとも優勝回数が多い都道府県といえば？,おおさか
巨人の堀内恒夫監督の現役時代のニックネーム,あくたろう
現在は智弁和歌山高校を率いる高校野球の名監督,たかしまひとし
甲子園球場があるのは兵庫県の○○市,にしのみや
甲子園球場のバックネット裏を覆う大屋根の通称です,ぎんさん
主に1980年生まれの日本の野球選手の通称は「○○世代」？,まつざか
松井秀喜は高校生時代５打席連続でされたことも,けいえん
西宮市にある、阪神タイガースの若手選手が住む寮です,こふうそう
大リーグで活躍する田口壮選手の出身大学は"何"大学？,かんせいがくいん
中日ドラゴンズが誇る守備のスーパーサブ,ひでのり
珍プレーのヘディングで有名？,うのまさる
都市対抗野球はこれを争います,くろじしき
東北楽天ゴールデンイーグルスの通称「ナベツネ」,わたなべこうき
日本プロ野球の通算最多記録は福本豊の1065,とうるい
白夜書房が隔月で発行している野球雑誌です,やきゅうこぞう
福岡ソフトバンクホークスの監督は？,おうさだはる
野球で、（安打数÷打数）で求められる数値です,だりつ
野球で、（塁打数÷打数）で求められる数値です,ちょうだりつ
野球でミットをつけて守るのは捕手と？,いちるいしゅ
野球用語の「ピンチランナー」を日本語で言うと？,だいそう
1999年の全国高校選手権で得点王を獲得したＪリーガー,はやしたけのり
2001年から2002年までＪリーグ横浜ＦＣの監督を務めました,しんとうかつよし
2002年にＪリーグのＦＣ東京の監督に就任した元日本代表ＦＷ,はらひろみ
2003年にＪリーグのクラブ・サガン鳥栖の監督を務めました,せんびきよしのり
2004年にセレッソ大阪に入団した期待の若手ストライカー,こけぐちたくや
2004年のサッカーアジアカップ優勝メンバー,かじあきら
「阿波踊り」のパフォーマンスが有名なサッカー選手,ふじもとちから
Ｊリーグで活躍する北朝鮮代表の選手です,アンヨンハッ
Ｊリーグの横浜ＦＣで活躍する若手ミッドフィルダーです,おおともさとし
Ｊリーグの多くのサッカー選手がこれを目標にしています,かいがいいせき
かつての天才サッカー少年です,きくはらしろう
アジアカップでも活躍したサッカー日本代表の快速ＦＷ,たまだけいじ
アテネ五輪にも出場した2003年度Ｊリーグ新人王は？,なすだいすけ
アテネ五輪に出場した際の女子サッカー日本代表の監督,うえだえいじ
アトランタ五輪のブラジル戦で決勝点を決めたサッカー選手,いとうてるよし
イタリアのセリエＡで活躍する日本代表のサッカー選手,なかたひでとし
サッカーＷ杯における日本人の主審第１号,たかだしずお
サッカーの試合でレッドカードをもらうと選手はこうなります,たいじょう
サッカー女子日本代表でも活躍する2003年度のＬリーグ得点王,おおたにみお
サッカー日本代表にも選ばれたＪリーグ、浦和レッズのＤＦ,やまだのぶひさ
サッカー日本代表の試合の前に歌われます,きみがよ
サンフレッチェ広島で活躍した元サッカー日本代表のＭＦ,もりやすはじめ
ドーハの悲劇を経験した元サッカー日本代表の選手,かつやとしのぶ
ベルギーリーグでプレーした初の日本人サッカー選手は？,えんどうまさひろ
ボルトン・ワンダラーズやエスパニョールなど海外でも活躍,にしざわあきのり
ミドルシュートが得意なサッカー日本代表のＭＦ,えんどうやすひと
メキシコ五輪得点王です,かまもとくにしげ
レフティモンスターと呼ばれた元サッカー日本代表のＦＷです,おぐらたかふみ
ヴェルディ川崎の黄金時代を築いたストライカーです,たけだのぶひろ
浦和レッズレディース所属の女子サッカー日本代表選手,あんどうこずえ
韓国人として初めてスペインでプレーしたサッカー選手です,イチョンス
宮本の日韓Ｗ杯での愛称は○○○マン？,バット
現役時代は中盤のダイナモとしてヴェルディ川崎や日本代表で活躍,きたざわつよし
女子サッカー日本代表で活躍する美人選手,かわかみなおこ
女子サッカー日本代表のエースストライカー,さわほまれ
女子サッカー日本代表の川上直子選手の愛称は？,ハワイ
湘南ベルマレーレに所属するベテランＭＦです,うきてつろう
日韓Ｗ杯で日本と対戦しました,トルコ
日韓Ｗ杯で日本と対戦しました,ベルギー
日韓Ｗ杯に高原が不出場になった原因はこの乗り物です,ひこうき
日韓Ｗ杯ベスト４まで進出,かんこく
日本をアトランタ五輪へ導く,まえぞのまさきよ
日本人初のＵＥＦＡカップ優勝を達成したサッカー選手は？,おのしんじ
日本代表でも活躍するジュビロ磐田のＤＦです,たなかまこと
日本代表経験もあるＪリーグジェフユナイテッド千葉のＭＦ,はにゅうなおたけ
必殺のドラゴンヘッドで得点を量産するストライカー,くぼたつひこ
1988年に「たけしプロレス軍団」のテストに合格しプロレス界入り,げどう
2003年の大晦日、ボブ・サップ相手にK-1デビュー,あけぼの
2004年の大晦日にプロ格闘家としてデビュー,あきやまよしひろ
2005年にプロデューサーとして格闘技界に復帰しました,まえだあきら
「おしん横綱」と呼ばれました,たかのさと
「近代空手の父」と呼ばれる沖縄出身の空手家です,ふなこしぎちん
「空気投げ」とも呼ばれた三船久蔵が編み出した柔道技,すみおとし
「講道館四天王」と呼ばれた柔道家の一人です,やましたよしあき
